file_name,speaker,vocab
visual/00970ce1_nohash_0.wav,00970ce1,visual
visual/012187a4_nohash_0.wav,012187a4,visual
visual/017c4098_nohash_0.wav,017c4098,visual
visual/017c4098_nohash_1.wav,017c4098,visual
visual/017c4098_nohash_2.wav,017c4098,visual
visual/017c4098_nohash_3.wav,017c4098,visual
visual/017c4098_nohash_4.wav,017c4098,visual
visual/02ade946_nohash_0.wav,02ade946,visual
visual/02ade946_nohash_1.wav,02ade946,visual
visual/02ade946_nohash_2.wav,02ade946,visual
visual/02ade946_nohash_3.wav,02ade946,visual
visual/02ade946_nohash_4.wav,02ade946,visual
visual/03431e13_nohash_0.wav,03431e13,visual
visual/042a8dde_nohash_0.wav,042a8dde,visual
visual/042a8dde_nohash_1.wav,042a8dde,visual
visual/042a8dde_nohash_2.wav,042a8dde,visual
visual/042a8dde_nohash_3.wav,042a8dde,visual
visual/050170cb_nohash_0.wav,050170cb,visual
visual/050170cb_nohash_1.wav,050170cb,visual
visual/050170cb_nohash_2.wav,050170cb,visual
visual/050170cb_nohash_3.wav,050170cb,visual
visual/050170cb_nohash_4.wav,050170cb,visual
visual/0547aa66_nohash_0.wav,0547aa66,visual
visual/0585b66d_nohash_0.wav,0585b66d,visual
visual/0585b66d_nohash_1.wav,0585b66d,visual
visual/0585b66d_nohash_2.wav,0585b66d,visual
visual/0585b66d_nohash_3.wav,0585b66d,visual
visual/0585b66d_nohash_4.wav,0585b66d,visual
visual/06f6c194_nohash_0.wav,06f6c194,visual
visual/06f6c194_nohash_1.wav,06f6c194,visual
visual/06f6c194_nohash_2.wav,06f6c194,visual
visual/06f6c194_nohash_3.wav,06f6c194,visual
visual/08ab231c_nohash_0.wav,08ab231c,visual
visual/08ab231c_nohash_1.wav,08ab231c,visual
visual/08ab231c_nohash_2.wav,08ab231c,visual
visual/08ab231c_nohash_3.wav,08ab231c,visual
visual/0943c746_nohash_0.wav,0943c746,visual
visual/0a2b400e_nohash_0.wav,0a2b400e,visual
visual/0a2b400e_nohash_1.wav,0a2b400e,visual
visual/0a2b400e_nohash_2.wav,0a2b400e,visual
visual/0a2b400e_nohash_3.wav,0a2b400e,visual
visual/0a5636ca_nohash_0.wav,0a5636ca,visual
visual/0b139000_nohash_0.wav,0b139000,visual
visual/0b7ee1a0_nohash_0.wav,0b7ee1a0,visual
visual/0b7ee1a0_nohash_1.wav,0b7ee1a0,visual
visual/0b7ee1a0_nohash_2.wav,0b7ee1a0,visual
visual/0b7ee1a0_nohash_3.wav,0b7ee1a0,visual
visual/0b7ee1a0_nohash_4.wav,0b7ee1a0,visual
visual/0ba018fc_nohash_0.wav,0ba018fc,visual
visual/0ba018fc_nohash_1.wav,0ba018fc,visual
visual/0ba018fc_nohash_2.wav,0ba018fc,visual
visual/0ba018fc_nohash_3.wav,0ba018fc,visual
visual/0ba018fc_nohash_4.wav,0ba018fc,visual
visual/0c09f202_nohash_0.wav,0c09f202,visual
visual/0d6d7360_nohash_0.wav,0d6d7360,visual
visual/0d6d7360_nohash_1.wav,0d6d7360,visual
visual/0d6d7360_nohash_2.wav,0d6d7360,visual
visual/0d6d7360_nohash_3.wav,0d6d7360,visual
visual/0d85a428_nohash_0.wav,0d85a428,visual
visual/0d90d8e1_nohash_0.wav,0d90d8e1,visual
visual/0d90d8e1_nohash_1.wav,0d90d8e1,visual
visual/0d90d8e1_nohash_2.wav,0d90d8e1,visual
visual/0d90d8e1_nohash_3.wav,0d90d8e1,visual
visual/0d90d8e1_nohash_4.wav,0d90d8e1,visual
visual/0e6e36c9_nohash_0.wav,0e6e36c9,visual
visual/0e6e36c9_nohash_1.wav,0e6e36c9,visual
visual/0e6e36c9_nohash_2.wav,0e6e36c9,visual
visual/0e6e36c9_nohash_3.wav,0e6e36c9,visual
visual/0e6e36c9_nohash_4.wav,0e6e36c9,visual
visual/0f2442b6_nohash_0.wav,0f2442b6,visual
visual/0f46028a_nohash_0.wav,0f46028a,visual
visual/0f46028a_nohash_1.wav,0f46028a,visual
visual/0f46028a_nohash_2.wav,0f46028a,visual
visual/0f46028a_nohash_3.wav,0f46028a,visual
visual/0f46028a_nohash_4.wav,0f46028a,visual
visual/0f7266cf_nohash_0.wav,0f7266cf,visual
visual/0f7266cf_nohash_1.wav,0f7266cf,visual
visual/0f7266cf_nohash_2.wav,0f7266cf,visual
visual/0f7266cf_nohash_3.wav,0f7266cf,visual
visual/0f7266cf_nohash_4.wav,0f7266cf,visual
visual/113b3fbc_nohash_0.wav,113b3fbc,visual
visual/113b3fbc_nohash_1.wav,113b3fbc,visual
visual/113b3fbc_nohash_2.wav,113b3fbc,visual
visual/113b3fbc_nohash_3.wav,113b3fbc,visual
visual/113b3fbc_nohash_4.wav,113b3fbc,visual
visual/131e738d_nohash_0.wav,131e738d,visual
visual/131e738d_nohash_1.wav,131e738d,visual
visual/131e738d_nohash_2.wav,131e738d,visual
visual/131e738d_nohash_3.wav,131e738d,visual
visual/13dce503_nohash_0.wav,13dce503,visual
visual/1473be6a_nohash_0.wav,1473be6a,visual
visual/1474273a_nohash_0.wav,1474273a,visual
visual/1496195a_nohash_0.wav,1496195a,visual
visual/1496195a_nohash_1.wav,1496195a,visual
visual/1496195a_nohash_2.wav,1496195a,visual
visual/14c7b073_nohash_0.wav,14c7b073,visual
visual/14c7b073_nohash_1.wav,14c7b073,visual
visual/14c7b073_nohash_2.wav,14c7b073,visual
visual/14c7b073_nohash_3.wav,14c7b073,visual
visual/15dd287d_nohash_0.wav,15dd287d,visual
visual/15dd287d_nohash_1.wav,15dd287d,visual
visual/15dd287d_nohash_2.wav,15dd287d,visual
visual/15dd287d_nohash_3.wav,15dd287d,visual
visual/18a6a90e_nohash_0.wav,18a6a90e,visual
visual/18d84076_nohash_0.wav,18d84076,visual
visual/18e910f4_nohash_0.wav,18e910f4,visual
visual/18e910f4_nohash_1.wav,18e910f4,visual
visual/18e910f4_nohash_2.wav,18e910f4,visual
visual/18e910f4_nohash_3.wav,18e910f4,visual
visual/18e910f4_nohash_4.wav,18e910f4,visual
visual/195c120a_nohash_0.wav,195c120a,visual
visual/195c120a_nohash_1.wav,195c120a,visual
visual/195c120a_nohash_2.wav,195c120a,visual
visual/195c120a_nohash_3.wav,195c120a,visual
visual/195c120a_nohash_4.wav,195c120a,visual
visual/196e84b7_nohash_0.wav,196e84b7,visual
visual/1970b130_nohash_0.wav,1970b130,visual
visual/19a1e5c7_nohash_0.wav,19a1e5c7,visual
visual/1a0f9c63_nohash_0.wav,1a0f9c63,visual
visual/1a994c9f_nohash_0.wav,1a994c9f,visual
visual/1a994c9f_nohash_1.wav,1a994c9f,visual
visual/1a994c9f_nohash_2.wav,1a994c9f,visual
visual/1a994c9f_nohash_3.wav,1a994c9f,visual
visual/1a994c9f_nohash_4.wav,1a994c9f,visual
